State ,Centre ,Variety , Unit,JAN 2017,FEB 2017,MAR 2017,APR 2017,MAY 2017,JUN 2017,JUL 2017,AUG 2017,SEP 2017,OCT 2017,NOV 2017,DEC 2017,JAN 2018,FEB 2018,MAR 2018,APR 2018,MAY 2018,JUN 2018,JUL 2018,AUG 2018,SEP 2018,OCT 2018,NOV 2018,DEC 2018,JAN 2019,FEB 2019,MAR 2019,APR 2019,MAY 2019,JUN 2019,JUL 2019,AUG 2019,SEP 2019,OCT 2019,NOV 2019,DEC 2019,JAN 2020,FEB 2020,MAR 2020,APR 2020,MAY 2020,JUN 2020,JUL 2020,AUG 2020,SEP 2020,OCT 2020,NOV 2020,DEC 2020,JAN 2021,FEB 2021,MAR 2021,APR 2021,MAY 2021,JUN 2021,JUL 2021,AUG 2021,SEP 2021,OCT 2021,NOV 2021,DEC 2021,JAN 2022,FEB 2022,MAR 2022,APR 2022,MAY 2022,JUN 2022,JUL 2022,AUG 2022,SEP 2022,OCT 2022,NOV 2022,DEC 2022
Andhra Pradesh,Chittoor,Desi,Kg.,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,30,30,30,34,36,36,36,38,38,38,38,40,40,36,36,34,34,34,35,34,40,40,40,,40,40,40,40,40,42,42,42,44,42,35,35,38,38,38,38,38,38,36,38,38,38,35,35,40,39,40,42,40,40,40,38
Andhra Pradesh,Chittoor,Kalyan HYV,Kg.,36,36,36,36,36,36,36,36,36,36,36,36,36,36,32,36,,,,,,,,,,,,,,,,,,,,,,,,,36,36,36,36,42,42,42,42,44,42,42,42,42,45,45,45,45,45,44,45,45,40,39,40,40,38,40,45,45,45,47,45
Andhra Pradesh,Guntur,Desi,Kg.,,,,,,,,,,,,32,30,30,32,34,30,32,32,35,35,35,35,35,35,35,35,34,34,34,34,34,34,34,35,35,35,35,35,35,35,35,35,35,36,35,35,35,36,34,35,35,37,36,36,36,37,36,35,35,36,35,37,37,39,37,39,39,39,39,40,42
Andhra Pradesh,Guntur,Kalyan HYV,Kg.,35,35,35,35,35,35,35,32,31,31,30,30,30,30,30,30,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andhra Pradesh,Kurnool,Desi,Kg.,,33,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,32,32,34,34,34,34,34,34,34,34,32,32,32,34,34,34,34,35,35,38,36,,37,37,36,35,36,36,36,36,38,36,36,36,36,36,36,36,36,36,32,36,35,36,36,35,36,35,38,38,39,40,40,39
Andhra Pradesh,Kurnool,Kalyan HYV,Kg.,32,,,,,,40,40,40,40,40,40,40,40,40,40,40,40,,,,,,,,,,,,,,,,,,,,,,,40,40,38,37,38,38,38,38,40,38,38,38,38,38,38,38,38,38,36,38,37,38,40,42,38,37,40,40,39,40,40,42
Andhra Pradesh,Vishakhapatnam,Desi,Kg.,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andhra Pradesh,Vishakhapatnam,Kalyan HYV,Kg.,35,35,35,35,35,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arunachal Pradesh,Itanagar,Desi,Kg.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,33,,,,,,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arunachal Pradesh,Itanagar,Kalyan HYV,Kg.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,46,,,,,,,47,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assam,Dibrugarh,Desi,Kg.,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,23,23,23,23,23,,,23,24,24,24,24,24,24,22,22,22,22,22,22,21,21,21,21,21,21,21,21,23,23,23,23,25,25,29,29,29,29
Assam,Dibrugarh,Kalyan HYV,Kg.,26,26,25,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,27,27,27,27,27,,,27,28,28,28,28,28,28,26,26,26,26,26,26,24,24,24,24,24,24,24,24,25,25,25,25,27,29,33,33,33,33
Assam,Dispur,Desi,Kg.,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,23,23,23,23,23,,,23,24,24,24,24,24,24,22,22,22,22,22,23,21,21,21,21,21,21,21,21,22,22,22,23,23,25,29,29,29,29
Assam,Dispur,Kalyan HYV,Kg.,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,27,27,27,27,27,,,27,28,28,28,28,28,28,26,26,26,26,26,25,24,24,24,24,24,24,24,24,25,25,25,26,27,29,33,33,33,33
Assam,Guwahati,Desi,Kg.,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,23,23,23,23,23,,,23,24,24,24,24,24,24,22,22,22,22,22,22,21,21,21,21,21,21,21,21,22,22,22,22,23,25,29,29,29,29
